typeOfChannel,delta,noiseVariance,SNR (dB),BPSKProbError,QAM4ProbError
randomUniform,20.000000 30.000000 40.000000 ,1.000000,0.000000, 0.458587 0.344500 0.293600 ,0.703937 0.569375 0.500250 
randomUniform,20.000000 30.000000 40.000000 ,0.950000,0.222764, 0.454037 0.345712 0.289363 ,0.703550 0.570025 0.496013 
randomUniform,20.000000 30.000000 40.000000 ,0.900000,0.457575, 0.458450 0.341475 0.283938 ,0.703575 0.562550 0.489250 
randomUniform,20.000000 30.000000 40.000000 ,0.850000,0.705811, 0.456100 0.336000 0.280075 ,0.700600 0.557863 0.476600 
randomUniform,20.000000 30.000000 40.000000 ,0.800000,0.969100, 0.451612 0.333225 0.273863 ,0.700600 0.551925 0.471000 
randomUniform,20.000000 30.000000 40.000000 ,0.750000,1.249387, 0.453600 0.323037 0.267525 ,0.698300 0.544338 0.460600 
randomUniform,20.000000 30.000000 40.000000 ,0.700000,1.549020, 0.450163 0.318113 0.256150 ,0.698325 0.536875 0.448238 
randomUniform,20.000000 30.000000 40.000000 ,0.650000,1.870866, 0.449738 0.310600 0.250925 ,0.694550 0.526412 0.440012 
randomUniform,20.000000 30.000000 40.000000 ,0.600000,2.218487, 0.445763 0.305188 0.244725 ,0.693675 0.517950 0.407000 
randomUniform,20.000000 30.000000 40.000000 ,0.550000,2.596373, 0.446750 0.299200 0.234575 ,0.690825 0.509563 0.401288 
randomUniform,20.000000 30.000000 40.000000 ,0.500000,3.010300, 0.445188 0.290212 0.221600 ,0.688650 0.491700 0.393575 
randomUniform,20.000000 30.000000 40.000000 ,0.450000,3.467875, 0.438862 0.277225 0.209175 ,0.683887 0.483362 0.373638 
randomUniform,20.000000 30.000000 40.000000 ,0.400000,3.979400, 0.435400 0.266937 0.197463 ,0.678063 0.461438 0.351913 
randomUniform,20.000000 30.000000 40.000000 ,0.350000,4.559320, 0.434563 0.253213 0.179388 ,0.676600 0.441975 0.325725 
randomUniform,20.000000 30.000000 40.000000 ,0.300000,5.228787, 0.428812 0.237925 0.159938 ,0.672063 0.416200 0.297162 
randomUniform,20.000000 30.000000 40.000000 ,0.250000,6.020600, 0.418137 0.215975 0.140875 ,0.661100 0.386638 0.258713 
randomUniform,20.000000 30.000000 40.000000 ,0.200000,6.989700, 0.409537 0.191963 0.115225 ,0.648863 0.347025 0.211338 
randomUniform,20.000000 30.000000 40.000000 ,0.150000,8.239087, 0.400500 0.159275 0.081687 ,0.632800 0.290325 0.157700 
randomUniform,20.000000 30.000000 40.000000 ,0.100000,10.000000, 0.373513 0.110213 0.044812 ,0.602200 0.207425 0.087962 
randomUniform,20.000000 30.000000 40.000000 ,0.050000,13.010300, 0.330775 0.044250 0.009325 ,0.545087 0.082988 0.018175 
